# File modified by Jason Curtis:
#   - certain columns were removed, others renamed
#   - the row with the column names is no longer commented out so that the names can be read properly.
#
# Original File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Tue Dec  7 06:20:02 CET 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia's DR2 G, G_BP and G_RP (Vegamags, Gaia passbands from Evans et al. 2018)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries
# Kind of output: isochrone tables
log_Age Initial_Mass Mass log_Lum log_Temp log_g label Gmag G_BPmag G_RPmag
8.0 5.0795474052 5.079 3.094 3.7836 2.136 2 -3.123 -2.85 -3.548
8.0 5.0796198845 5.079 3.086 3.7715 2.096 2 -3.09 -2.788 -3.549
8.0 5.0796890259 5.079 3.077 3.7595 2.057 2 -3.054 -2.722 -3.546
8.0 5.0797548294 5.079 3.067 3.7478 2.02 2 -3.016 -2.655 -3.536
8.0 5.0798201561 5.079 3.058 3.7365 1.984 2 -2.973 -2.585 -3.521
8.0 5.0798892975 5.079 3.046 3.7254 1.951 2 -2.925 -2.508 -3.499
8.0 5.0799660683 5.079 3.033 3.7148 1.922 2 -2.869 -2.425 -3.467
8.0 5.0800623894 5.079 3.015 3.7049 1.9 2 -2.8 -2.331 -3.42
8.0 5.0801749229 5.08 2.993 3.6961 1.887 2 -2.72 -2.229 -3.359
8.0 5.0802998543 5.08 2.968 3.6874 1.877 2 -2.634 -2.12 -3.292
8.0 5.0804362297 5.08 2.949 3.6787 1.862 2 -2.56 -2.025 -3.234
8.0 5.0805330276 5.08 2.942 3.6728 1.845 2 -2.522 -1.972 -3.209
8.0 5.0806326866 5.08 2.954 3.6667 1.808 3 -2.53 -1.962 -3.23
8.0 5.0807676315 5.08 2.986 3.6583 1.743 3 -2.576 -1.983 -3.294
8.0 5.0808777809 5.08 3.027 3.6515 1.675 3 -2.65 -2.038 -3.383
8.0 5.0809674263 5.08 3.065 3.6465 1.617 3 -2.721 -2.094 -3.465
8.0 5.0810575485 5.08 3.1 3.6422 1.565 3 -2.791 -2.15 -3.543
8.0 5.0811786652 5.081 3.14 3.6378 1.507 3 -2.869 -2.216 -3.631
8.0 5.0812282562 5.081 3.152 3.6365 1.49 3 -2.891 -2.234 -3.656
8.0 5.0813393593 5.081 3.175 3.6341 1.458 3 -2.935 -2.268 -3.706
8.0 5.0813689232 5.081 3.179 3.6336 1.451 3 -2.944 -2.275 -3.716
8.0 5.0817217827 5.081 3.221 3.6291 1.392 3 -3.025 -2.339 -3.809
8.0 5.0821557045 5.082 3.264 3.6247 1.331 3 -3.108 -2.403 -3.903
8.0 5.0825972557 5.082 3.305 3.6207 1.274 3 -3.188 -2.467 -3.994
8.0 5.0830750465 5.082 3.349 3.6167 1.214 3 -3.273 -2.534 -4.091
8.0 5.0835528374 5.083 3.393 3.613 1.155 3 -3.359 -2.603 -4.186
8.0 5.0840306282 5.083 3.436 3.6094 1.098 3 -3.444 -2.671 -4.282
8.0 5.0844802856 5.084 3.474 3.6062 1.047 3 -3.518 -2.728 -4.365
8.0 5.0851554871 5.085 3.506 3.6035 1.004 3 -3.58 -2.776 -4.435
8.0 5.0862259865 5.086 3.525 3.602 0.979 3 -3.615 -2.803 -4.475
8.0 5.0884633064 5.088 3.515 3.603 0.994 3 -3.597 -2.791 -4.454
8.0 5.0955672264 5.095 3.477 3.6068 1.047 4 -3.529 -2.742 -4.375
8.0 5.0999455452 5.099 3.445 3.6099 1.092 4 -3.471 -2.7 -4.308
8.0 5.1034975052 5.103 3.412 3.613 1.138 4 -3.408 -2.651 -4.236
8.0 5.1068806648 5.106 3.377 3.6164 1.187 4 -3.34 -2.599 -4.159
8.0 5.1102266312 5.11 3.34 3.6199 1.238 4 -3.271 -2.546 -4.08
8.0 5.1135435104 5.113 3.304 3.6233 1.288 4 -3.201 -2.49 -4.0
8.0 5.117483139 5.117 3.265 3.6273 1.344 4 -3.124 -2.43 -3.913
8.0 5.1230635643 5.123 3.217 3.6324 1.412 4 -3.033 -2.359 -3.808
8.0 5.1290917397 5.129 3.178 3.6371 1.47 4 -2.961 -2.305 -3.724
8.0 5.1397032738 5.139 3.138 3.6441 1.539 4 -2.894 -2.261 -3.641
8.0 5.1485905647 5.148 3.125 3.6492 1.573 4 -2.887 -2.27 -3.623
8.0 5.1561131477 5.156 3.144 3.6553 1.579 4 -2.961 -2.362 -3.684
8.0 5.161916256 5.162 3.168 3.6616 1.581 5 -3.049 -2.469 -3.758
8.0 5.1651234627 5.165 3.196 3.6684 1.581 5 -3.144 -2.579 -3.841
8.0 5.1669325829 5.167 3.217 3.6747 1.585 5 -3.218 -2.666 -3.904
8.0 5.1685724258 5.168 3.236 3.6822 1.596 5 -3.291 -2.755 -3.964
8.0 5.1697440147 5.169 3.25 3.6903 1.615 5 -3.349 -2.833 -4.006
8.0 5.1706871986 5.17 3.26 3.6984 1.637 5 -3.397 -2.903 -4.037
8.0 5.171561718 5.171 3.268 3.7068 1.663 5 -3.44 -2.968 -4.061
8.0 5.1724228859 5.172 3.275 3.7155 1.691 5 -3.478 -3.029 -4.08
8.0 5.1733560562 5.173 3.281 3.7245 1.72 5 -3.514 -3.089 -4.095
8.0 5.1744446754 5.174 3.288 3.7342 1.753 5 -3.549 -3.149 -4.107
8.0 5.1757044792 5.175 3.294 3.7433 1.783 5 -3.579 -3.203 -4.114
8.0 5.1776351929 5.177 3.3 3.7524 1.814 5 -3.608 -3.255 -4.119
8.0 5.1810727119 5.181 3.306 3.7612 1.843 5 -3.636 -3.305 -4.125
8.0 5.1865968704 5.186 3.309 3.7563 1.821 6 -3.635 -3.292 -4.137
8.0 5.1981096268 5.198 3.317 3.7496 1.787 6 -3.648 -3.287 -4.167
8.0 5.1999998093 5.2 3.319 3.7492 1.784 6 -3.651 -3.29 -4.172
8.0 5.2260651588 5.226 3.342 3.7441 1.742 6 -3.703 -3.327 -4.237
8.0 5.2375135422 5.237 3.35 3.7381 1.711 6 -3.713 -3.322 -4.263
8.0 5.2443389893 5.244 3.354 3.7309 1.68 6 -3.708 -3.298 -4.275
8.0 5.2524018288 5.252 3.355 3.7195 1.633 6 -3.689 -3.248 -4.283
8.0 5.257434845 5.258 3.354 3.7104 1.599 6 -3.665 -3.2 -4.281
8.0 5.261879921 5.262 3.351 3.7012 1.565 6 -3.635 -3.146 -4.271
8.0 5.2654914856 5.266 3.348 3.693 1.536 6 -3.602 -3.091 -4.256
8.0 5.2688879967 5.269 3.342 3.6847 1.508 6 -3.563 -3.029 -4.234
